"Region","County","District","District Name","Charter Status","Staff_Category","Staff","FTE Count","Total Base Pay","Average Base Pay"
"07","ANDERSON COUNTY","001902","CAYUGA ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","PRE-KINDERGARTEN","0.50","23638","47276"
"07","ANDERSON COUNTY","001902","CAYUGA ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","KINDERGARTEN","3.20","150219","46963"
"07","ANDERSON COUNTY","001902","CAYUGA ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","ELEMENTARY (GRADES 1-6)","17.97","783469","43596"
"07","ANDERSON COUNTY","001902","CAYUGA ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","MIDDLE SCHOOL (GRADES 6 - 8)","0.64","29315","45591"
"07","ANDERSON COUNTY","001902","CAYUGA ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","SECONDARY (GRADES 7-12)","26.56","1212650","45653"
"07","ANDERSON COUNTY","001902","CAYUGA ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","ALL GRADE LEVELS","5.35","245090","45851"
"07","ANDERSON COUNTY","001902","CAYUGA ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","TOTAL TEACHING STAFF","54.22","2444381","45082"
"07","ANDERSON COUNTY","001902","CAYUGA ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","COUNSELOR","1.00","54582","54582"
"07","ANDERSON COUNTY","001902","CAYUGA ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","EDUCATIONAL DIAGNOSTICIAN","6.00","313578","52265"
"07","ANDERSON COUNTY","001902","CAYUGA ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","LIBRARIAN","0.17","8328","50018"
"07","ANDERSON COUNTY","001902","CAYUGA ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","LSSP/PSYCHOLOGIST","4.00","176886","44222"
"07","ANDERSON COUNTY","001902","CAYUGA ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","OTHR NON-INSTR DISTRICT","2.50","149492","59797"
