"DIST_SPEN","DIST_SPER","DIST_SPED","DIST_OVRN","DIST_OVRR","DIST_OVRD","DIST_MIGN","DIST_MIGR","DIST_MIGD","DIST_LEPN","DIST_LEPR","DIST_LEPD","DIST_IMMN","DIST_IMMR","DIST_IMMD","DIST_GFTN","DIST_GFTR","DIST_GFTD","DIST_ECNN","DIST_ECNR","DIST_ECND","DIST_CTEN","DIST_CTER","DIST_CTED","DIST_TTLN","DIST_TTLR","DIST_TTLD","DIST_BEN","DIST_BER","DIST_BED","DIST_ATRN","DIST_ATRR","DIST_ATRD","DIST_MUN","DIST_MUR","DIST_MUD","DIST_PIN","DIST_PIR","DIST_PID","DIST_WHN","DIST_WHR","DIST_WHD","DIST_NAN","DIST_NAR","DIST_NAD","DIST_HSN","DIST_HSR","DIST_HSD","DIST_ASN","DIST_ASR","DIST_ASD","DIST_AAN","DIST_AAR","DIST_AAD","DIST_FEMN","DIST_FEMR","DIST_FEMD","DIST_MALN","DIST_MALR","DIST_MALD","DIST_ALLN","DIST_ALLR","DIST_ALLD","DISTRICT","Gradespan","cntyname","regnname","distname","COUNTY","REGION"
"0","0.0","44","-","2.5","<100",".",".",".",".",".",".",".",".",".","0","0.0","38","-","1.0","<200","0","0.0","45","-","0.9","<400",".",".",".","-","3.3","<100","0","0.0","17",".",".",".","-","1.2","<300",".",".",".","0","0.0","20","0","0.0","2","0","0.0","35","-","1.5","<200","-","0.5","<200","-","0.9","<400","001902","712","Anderson County","Kilgore","Cayuga ISD","001","07"
"0","0.0","16","0","0.0","25",".",".",".",".",".",".",".",".",".","0","0.0","14","0","0.0","34",".",".",".","0","0.0","113",".",".",".","0","0.0","15","0","0.0","7",".",".",".","0","0.0","88",".",".",".","0","0.0","11","0","0.0","1","0","0.0","6","0","0.0","50","0","0.0","63","0","0.0","113","001902","78","Anderson County","Kilgore","Cayuga ISD","001","07"
"0","0.0","28","-","3.7","<100",".",".",".",".",".",".",".",".",".","0","0.0","24","-","1.5","<100","0","0.0","45","-","1.4","<300",".",".",".","-","4.4","<100","0","0.0","10",".",".",".","-","1.8","<200",".",".",".","0","0.0","9","0","0.0","1","0","0.0","29","-","2.3","<100","-","0.8","<200","-","1.4","<300","001902","912","Anderson County","Kilgore","Cayuga ISD","001","07"
"0","0.0","78","0","0.0","150",".",".",".",".",".",".",".",".",".","0","0.0","39","0","0.0","217","0","0.0","112","0","0.0","592",".",".",".","0","0.0","237","0","0.0","13",".",".",".","0","0.0","505","0","0.0","3","0","0.0","37","0","0.0","2","0","0.0","33","0","0.0","289","0","0.0","304","0","0.0","593","001903","712","Anderson County","Kilgore","Elkhart ISD","001","07"
"0","0.0","23","0","0.0","55",".",".",".",".",".",".",".",".",".","0","0.0","12","0","0.0","79",".",".",".","0","0.0","204",".",".",".","0","0.0","76","0","0.0","5",".",".",".","0","0.0","175","0","0.0","1","0","0.0","17",".",".",".","0","0.0","7","0","0.0","109","0","0.0","96","0","0.0","205","001903","78","Anderson County","Kilgore","Elkhart ISD","001","07"
"0","0.0","55","0","0.0","95",".",".",".",".",".",".",".",".",".","0","0.0","27","0","0.0","138","0","0.0","112","0","0.0","388",".",".",".","0","0.0","161","0","0.0","8",".",".",".","0","0.0","330","0","0.0","2","0","0.0","20","0","0.0","2","0","0.0","26","0","0.0","180","0","0.0","208","0","0.0","388","001903","912","Anderson County","Kilgore","Elkhart ISD","001","07"
"0","0.0","67","0","0.0","80",".",".",".","0","0.0","11","0","0.0","3","0","0.0","32","0","0.0","168","0","0.0","197","0","0.0","380","0","0.0","11","0","0.0","177","0","0.0","10",".",".",".","0","0.0","283","0","0.0","1","0","0.0","24","0","0.0","7","0","0.0","55","0","0.0","177","0","0.0","203","0","0.0","380","001904","712","Anderson County","Kilgore","Frankston ISD","001","07"
"0","0.0","31","0","0.0","33",".",".",".","0","0.0","3","0","0.0","1","0","0.0","8","0","0.0","66",".",".",".","0","0.0","123","0","0.0","3","0","0.0","57","0","0.0","4",".",".",".","0","0.0","92",".",".",".","0","0.0","8","0","0.0","3","0","0.0","16","0","0.0","72","0","0.0","51","0","0.0","123","001904","78","Anderson County","Kilgore","Frankston ISD","001","07"
"0","0.0","36","0","0.0","47",".",".",".","0","0.0","8","0","0.0","2","0","0.0","24","0","0.0","102","0","0.0","197","0","0.0","257","0","0.0","8","0","0.0","120","0","0.0","6",".",".",".","0","0.0","191","0","0.0","1","0","0.0","16","0","0.0","4","0","0.0","39","0","0.0","105","0","0.0","152","0","0.0","257","001904","912","Anderson County","Kilgore","Frankston ISD","001","07"
"0","0.0","30","0","0.0","37",".",".",".","0","0.0","2","0","0.0","2","0","0.0","16","0","0.0","66","0","0.0","31","0","0.0","170","0","0.0","2","0","0.0","68","0","0.0","5",".",".",".","0","0.0","133",".",".",".","0","0.0","16",".",".",".","0","0.0","16","0","0.0","82","0","0.0","88","0","0.0","170","001906","712","Anderson County","Kilgore","Neches ISD","001","07"
